county_state,year,population,median_income,prop_female,prop_male,prop_white,prop_black,prop_native,prop_asian,prop_hawaiin_islander,prop_other_race,prop_multi_racial,prop_poverty
"District of Columbia, District of Columbia",2010,604453,60903,0.5272932717680283,0.47270672823197174,0.4018592016252711,0.5115716192987709,0.003188006346233702,0.03565537767204398,3.854724850401934e-4,0.02783508395193671,0.019505238620703347,0.19164975050485766
"Alachua County, Florida",2010,247497,40358,0.5182083015147658,0.4817916984852342,0.6996125205558047,0.204790361095286,0.0027515485036182256,0.05563703802470333,5.373802510737504e-4,0.008533436768930532,0.02813771480058344,0.26858988252633403
"Bay County, Florida",2010,169272,44881,0.5031428706460608,0.4968571293539392,0.8258128928588307,0.0916985679852545,0.00645706318824141,0.02123800746727161,0,0.0019495250248121366,0.052843943475589586,0.14247742499271773
"Brevard County, Florida",2010,543573,46262,0.51017066704932,0.48982933295068004,0.8370393672974927,0.1009395242221376,0.004212865613266295,0.019892452347706747,1.0118236189067522e-4,0.01448931422274469,0.023325293934761293,0.13384076102925352
"Broward County, Florida",2010,1753578,48063,0.5157352567151275,0.4842647432848724,0.638871495878712,0.2664460890818658,0.0032157109635271427,0.032904723941564046,9.266767717204482e-4,0.03227401347416539,0.025361289888445226,0.146060438802263
"Charlotte County, Florida",2010,159990,42031,0.5156509781861366,0.48434902181386336,0.9086255390961935,0.056022251390711916,0.00446277892368273,0.013038314894680918,0,0.004050253140821301,0.01380086255390962,0.1351711110970253
"Citrus County, Florida",2010,141129,35459,0.5139340603277852,0.4860659396722148,0.9271163261980174,0.030617378426829354,0.003953829475161023,0.016233375139057173,0,0.011599316936986728,0.010479773823948303,0.1725877428356767
"Clay County, Florida",2010,191395,58263,0.5137438282086784,0.48625617179132163,0.8231458502050732,0.09750515948692495,0.00687583270200371,0.02715849421353745,0,0.013396379215757988,0.03191828417670263,0.12134905007997382
"Collier County, Florida",2010,322472,52730,0.5038980128507281,0.4961019871492719,0.8582450569351757,0.06517775186682875,0.002006375747351708,0.01137463097571262,4.186409982882235e-4,0.046769952119873975,0.01600759135676896,0.16176603383476207
"Columbia County, Florida",2010,67597,32488,0.4897702560764531,0.5102297439235469,0.7849312839327189,0.16599849105729544,0.005015015459265944,0.004778318564433333,0,0.02399514771365593,0.015281743272630443,0.1730332887825195
"Duval County, Florida",2010,865876,46078,0.5149478678240302,0.48505213217596976,0.6203705842406996,0.29821822062281433,0.0021619723840365134,0.03993758921600783,2.9103474400491526e-4,0.01193473430375712,0.02708586448867967,0.16614971797950298
"Escambia County, Florida",2010,298043,41483,0.5049372070473053,0.49506279295269473,0.6943360521803901,0.22980576628204655,0.004928818995916697,0.025509741882882672,0.0019493831427008855,0.003724294816519764,0.03974594269954335,0.1934507170085315
"Flagler County, Florida",2010,95928,43993,0.5359540488699859,0.4640459511300142,0.8103056459010924,0.10516220498707364,0.0029501292636143774,0.023976315570010842,0.00412809607205404,0.023246601617880076,0.030231006588274538,0.18070676330018093
"Hernando County, Florida",2010,173008,37459,0.515872098400074,0.484127901599926,0.8933748728382502,0.0511768241931009,0.00230625173402386,0.007826227688893,0.0018149449736428373,0.028669194488116157,0.014831684083972995,0.14753770146212777
"Highlands County, Florida",2010,98700,34561,0.5175785207700101,0.48242147922998985,0.8478520770010132,0.10144883485309017,0.014903748733535968,0.009483282674772036,0,0.014650455927051671,0.01166160081053698,0.21135150788069335
"Hillsborough County, Florida",2010,1233846,46117,0.5124383431968009,0.48756165680319913,0.7295586321145426,0.16774864934521813,0.011047569956056104,0.03473772253587563,5.478803675661306e-4,0.029319704403953168,0.027039841276788188,0.16617280683080074
